symbol,sector,strategy,strategy_name,sharpe,sortino,total_return,max_drawdown,win_rate,trades,profit_factor,period
INDUSINDBK,BANKING,VWAP,VWAP Mean Reversion,-0.500612921538337,-0.5203192787369391,-0.12602645833289428,0.23745460054334827,0.5,148,0.8985202726507223,1Y
INDUSINDBK,BANKING,MOMENTUM,Momentum Rotation,1.4220702288520115,1.0173838029148456,0.14634009715949503,0.03710726846424394,0.5,16,2.869176980487084,1Y
INDUSINDBK,BANKING,BB_SQUEEZE,Bollinger Squeeze,1.4220702288520115,1.0173838029148456,0.14634009715949503,0.03710726846424394,0.5,16,2.869176980487084,1Y
INDUSINDBK,BANKING,RSI_DIV,RSI Divergence,1.4220702288520115,1.0173838029148456,0.14634009715949503,0.03710726846424394,0.5,16,2.869176980487084,1Y
INDUSINDBK,BANKING,ATR_BREAKOUT,ATR Breakout,1.4220702288520115,1.0173838029148456,0.14634009715949503,0.03710726846424394,0.5,16,2.869176980487084,1Y
TCS,IT,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TCS,IT,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TCS,IT,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TCS,IT,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TCS,IT,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TCS,IT,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TCS,IT,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TCS,IT,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
INFY,IT,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
WIPRO,IT,BREAKOUT,Swing Breakout,-1.6561684221657786,-0.4220565038699514,-0.07204073605597827,0.07204073605597827,0.2727272727272727,11,0.18477872600000927,1Y
WIPRO,IT,EMA_CROSS,EMA Crossover,-0.7886574875862155,-0.547762436081281,-0.1231581388920081,0.14473717234741054,0.5229357798165137,109,0.7984538191718457,1Y
WIPRO,IT,ORB,Opening Range Breakout,-0.09519875865183704,-0.08255114644163349,-0.022727880106559795,0.09841991125663954,0.42857142857142855,84,0.9714053181072978,1Y
WIPRO,IT,VWAP,VWAP Mean Reversion,0.041241031371611475,0.04239346252222921,-0.010635870401300207,0.17475768821790016,0.5197368421052632,152,1.0091287871415628,1Y
WIPRO,IT,MOMENTUM,Momentum Rotation,-1.6561684221657786,-0.4220565038699514,-0.07204073605597827,0.07204073605597827,0.2727272727272727,11,0.18477872600000927,1Y
WIPRO,IT,BB_SQUEEZE,Bollinger Squeeze,-1.6561684221657786,-0.4220565038699514,-0.07204073605597827,0.07204073605597827,0.2727272727272727,11,0.18477872600000927,1Y
WIPRO,IT,RSI_DIV,RSI Divergence,-1.6561684221657786,-0.4220565038699514,-0.07204073605597827,0.07204073605597827,0.2727272727272727,11,0.18477872600000927,1Y
WIPRO,IT,ATR_BREAKOUT,ATR Breakout,-1.6561684221657786,-0.4220565038699514,-0.07204073605597827,0.07204073605597827,0.2727272727272727,11,0.18477872600000927,1Y
HCLTECH,IT,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HCLTECH,IT,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HCLTECH,IT,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HCLTECH,IT,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HCLTECH,IT,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HCLTECH,IT,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HCLTECH,IT,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HCLTECH,IT,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
TECHM,IT,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
LTIM,IT,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
HINDUNILVR,FMCG,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ITC,FMCG,BREAKOUT,Swing Breakout,-0.7060680398682211,-0.16758182123195878,-0.018898158850695457,0.031116839116461886,0.3333333333333333,9,0.5235919174653907,1Y
ITC,FMCG,EMA_CROSS,EMA Crossover,-1.4090247527164583,-1.1712366100291483,-0.12484504631646087,0.12484504631646087,0.35714285714285715,70,0.6419010561574808,1Y
ITC,FMCG,ORB,Opening Range Breakout,-1.3460914081806423,-0.6241167372320323,-0.09718087497914474,0.10453486004224734,0.42424242424242425,33,0.5060775131872082,1Y
ITC,FMCG,VWAP,VWAP Mean Reversion,0.3011353152213298,0.2300255450510339,0.02464213873520138,0.12436443589391198,0.5681818181818182,88,1.0912686617759506,1Y
ITC,FMCG,MOMENTUM,Momentum Rotation,-0.7060680398682211,-0.16758182123195878,-0.018898158850695457,0.031116839116461886,0.3333333333333333,9,0.5235919174653907,1Y
ITC,FMCG,BB_SQUEEZE,Bollinger Squeeze,-0.7060680398682211,-0.16758182123195878,-0.018898158850695457,0.031116839116461886,0.3333333333333333,9,0.5235919174653907,1Y
ITC,FMCG,RSI_DIV,RSI Divergence,-0.7060680398682211,-0.16758182123195878,-0.018898158850695457,0.031116839116461886,0.3333333333333333,9,0.5235919174653907,1Y
ITC,FMCG,ATR_BREAKOUT,ATR Breakout,-0.7060680398682211,-0.16758182123195878,-0.018898158850695457,0.031116839116461886,0.3333333333333333,9,0.5235919174653907,1Y
NESTLEIND,FMCG,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
