strategy_id,strategy_name,strategy_type,wave,symbol,sharpe,sortino,total_return,max_drawdown,win_rate,total_trades,profit_factor,period
ALPHA_IRON_011,Iron Condor,THETA,1,TATASTEEL,36.082509546512796,36.082509546512796,2.358842172343464,0.03940399000000008,0.9806201550387597,258,25.3,1Y
ALPHA_IRON_011,Iron Condor,THETA,1,HINDALCO,35.37863923000066,35.37863923000066,2.211404721700978,0.03940399000000008,0.9799196787148594,249,24.4,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,HDFCBANK,-0.45948513879113306,-0.31141476812655594,-0.009268802175457447,0.04791103720640225,0.47619047619047616,21,0.8594237808494849,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,ICICIBANK,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,SBIN,0.7065303669792291,0.6420690689409085,0.08234024733169876,0.1304638733437388,0.5607476635514018,107,1.2059156046483888,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,TCS,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,INFY,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,WIPRO,0.041241031371611475,0.04239346252222921,-0.010635870401300207,0.17475768821790016,0.5197368421052632,152,1.0091287871415628,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,RELIANCE,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,NTPC,-0.02462969017655052,-0.018973471285182623,-0.013721314211932345,0.11560514227310204,0.5700934579439252,107,0.9932427190903956,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,HINDUNILVR,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,NESTLEIND,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,ITC,0.2974368912207982,0.23431454846844468,0.024642138735201158,0.12436443589391201,0.5617977528089888,89,1.0889220971960598,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,MARUTI,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,TATAMOTORS,-0.8189285258609067,-0.5594268347359431,-0.4052734205090006,0.49762705979678296,0.4971751412429379,177,0.7490630454901556,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,SUNPHARMA,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,DRREDDY,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,BAJFINANCE,-0.04721688638046365,-0.05880309521347435,-0.009306464444408302,0.07913625050820428,0.45098039215686275,51,0.9883307173434044,1Y
ALPHA_VWAP_002,VWAP Mean Reversion,MEAN_REV,1,TATASTEEL,-0.8428519963068152,-0.7823965932269683,-0.19150002071091476,0.23484923513353514,0.525974025974026,154,0.8221646039831563,1Y
