"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TMPV","EQ","29-Dec-2025","358.80","358.50","362.80","357.85","358.95","358.60","359.73","1,00,50,266","3,61,54,25,308.20","99,849","57,62,307","57.33"
"TMPV","EQ","30-Dec-2025","358.60","358.60","363.95","358.45","360.90","361.75","361.45","1,38,07,060","4,99,05,54,696.40","1,25,229","84,99,912","61.56"
"TMPV","EQ","31-Dec-2025","361.75","361.75","368.50","360.65","367.40","367.35","365.71","1,04,39,184","3,81,77,14,702.05","98,599","57,03,026","54.63"
"TMPV","EQ","01-Jan-2026","367.35","368.85","371.00","365.55","368.55","367.55","367.93","72,14,281","2,65,43,33,709.95","71,670","27,30,487","37.85"
"TMPV","EQ","02-Jan-2026","367.55","369.20","372.90","368.55","370.35","370.35","370.71","70,77,536","2,62,36,80,560.15","1,09,207","35,87,957","50.70"
"TMPV","EQ","05-Jan-2026","370.35","370.35","375.00","369.10","373.55","373.55","372.22","95,91,926","3,57,03,10,029.80","1,24,850","55,46,247","57.82"
"TMPV","EQ","06-Jan-2026","373.55","371.50","371.50","360.00","368.60","368.90","366.21","1,74,93,345","6,40,61,80,843.35","1,70,731","98,85,210","56.51"
"TMPV","EQ","07-Jan-2026","368.90","367.05","367.25","359.20","363.00","363.35","361.93","1,06,82,229","3,86,62,70,094.60","1,30,101","53,79,806","50.36"
"TMPV","EQ","08-Jan-2026","363.35","363.30","365.35","358.00","358.00","359.45","360.86","73,53,203","2,65,34,47,587.50","1,29,887","38,12,772","51.85"
"TMPV","EQ","09-Jan-2026","359.45","358.00","359.75","352.20","355.15","354.15","355.63","80,18,768","2,85,16,97,608.85","1,38,083","38,25,081","47.70"
"TMPV","EQ","12-Jan-2026","354.15","352.95","354.15","347.65","350.60","350.55","350.68","97,71,562","3,42,67,31,034.40","1,35,928","53,19,411","54.44"
"TMPV","EQ","13-Jan-2026","350.55","350.65","351.90","345.60","348.45","349.75","348.40","75,27,115","2,62,24,69,687.45","1,03,315","35,72,599","47.46"
"TMPV","EQ","14-Jan-2026","349.75","349.00","354.00","347.10","349.00","349.80","351.19","62,49,594","2,19,48,09,524.40","89,759","33,67,827","53.89"
"TMPV","EQ","16-Jan-2026","349.80","349.70","359.70","349.65","354.00","353.60","355.52","1,07,35,620","3,81,67,78,648.85","1,61,518","63,44,538","59.10"
"TMPV","EQ","19-Jan-2026","353.60","353.60","353.60","338.35","343.55","344.00","343.53","1,43,64,958","4,93,48,55,856.10","2,52,371","74,98,992","52.20"
"TMPV","EQ","20-Jan-2026","344.00","344.85","346.60","336.75","338.20","337.85","339.60","1,15,41,904","3,91,96,56,843.25","1,55,485","64,38,389","55.78"
"TMPV","EQ","21-Jan-2026","337.85","336.00","343.70","335.95","339.00","339.25","340.32","98,73,473","3,36,01,14,229.65","1,37,689","52,02,593","52.69"
"TMPV","EQ","22-Jan-2026","339.25","344.45","351.75","343.10","347.30","347.30","347.69","1,07,14,263","3,72,51,91,569.70","1,22,161","54,12,045","50.51"
"TMPV","EQ","23-Jan-2026","347.30","347.10","351.00","342.15","345.00","344.45","346.04","83,54,700","2,89,10,74,776.55","1,08,772","42,58,848","50.98"
"TMPV","EQ","27-Jan-2026","344.45","340.00","345.00","335.90","340.00","340.55","339.96","1,25,10,469","4,25,31,09,718.45","1,68,648","58,02,876","46.38"
"TMPV","EQ","28-Jan-2026","340.55","341.90","346.60","337.05","341.10","340.45","340.75","94,25,163","3,21,16,10,178.35","1,03,188","47,75,819","50.67"
"TMPV","EQ","29-Jan-2026","340.45","340.50","352.65","335.60","352.00","351.80","345.60","1,35,86,977","4,69,55,97,188.10","1,38,064","61,08,945","44.96"
"TMPV","EQ","30-Jan-2026","351.80","350.80","353.00","348.40","349.25","350.05","350.33","99,10,289","3,47,18,26,596.00","1,35,196","60,94,024","61.49"
